trade_id,timestamp,entry_price,exit_price,exit_reason,outcome,pnl,stop,target,strategy,signal,direction
PT-20260917145449-478707,2026-09-01 04:25:00,24018.25,24032.94921875,TARGET_HIT,TARGET_HIT,-293.984375,24052.70237630208,23657.97625,,BEARISH,BEARISH
PT-20260917145449-623050,2026-09-01 04:30:00,24032.94921875,24033.0,TARGET_HIT,TARGET_HIT,-1.015625,24052.06904296875,23672.45498046875,,BEARISH,BEARISH
PT-20260917145449-E259F5,2026-09-01 04:35:00,24033.0,24036.25,TARGET_HIT,TARGET_HIT,-65.0,24050.904069010416,23672.505,,BEARISH,BEARISH
PT-20260917145449-0E91A9,2026-09-01 04:40:00,24036.25,24050.19921875,TARGET_HIT,TARGET_HIT,-278.984375,24048.599902343747,23675.70625,,BEARISH,BEARISH
PT-20260917145449-8282AC,2026-09-01 05:20:00,24087.19921875,24036.900390625,STOP_LOSS,STOPPED,-1005.9765625,24048.27483723958,24448.50720703125,,BULLISH,BULLISH
PT-20260917145449-5B5C84,2026-09-01 05:25:00,24082.0,24049.05078125,STOP_LOSS,STOPPED,-658.984375,24049.968977864584,24443.229999999996,,BULLISH,BULLISH
PT-20260917145449-A9CFF3,2026-09-01 05:30:00,24077.400390625,24050.19921875,STOP_LOSS,STOPPED,-544.0234375,24051.904817708335,24438.561396484372,,BULLISH,BULLISH
PT-20260917145449-1A017A,2026-09-01 05:35:00,24092.849609375,24050.19921875,STOP_LOSS,STOPPED,-853.0078125,24053.56484375,24454.242353515623,,BULLISH,BULLISH
PT-20260917145449-23C397,2026-09-01 05:40:00,24107.05078125,24050.19921875,STOP_LOSS,STOPPED,-1137.03125,24055.36904296875,24468.656542968747,,BULLISH,BULLISH
PT-20260917145449-0753A0,2026-09-01 05:45:00,24121.650390625,24050.19921875,STOP_LOSS,STOPPED,-1429.0234375,24058.748242187496,24483.475146484372,,BULLISH,BULLISH
PT-20260917145449-894814,2026-09-01 05:50:00,24120.349609375,24050.19921875,STOP_LOSS,STOPPED,-1403.0078125,24063.14075520833,24482.15485351562,,BULLISH,BULLISH
PT-20260917145450-805D69,2026-09-01 05:55:00,24126.30078125,24050.19921875,STOP_LOSS,STOPPED,-1522.03125,24068.32659505208,24488.195292968747,,BULLISH,BULLISH
PT-20260917145450-D9926F,2026-09-01 06:00:00,24124.55078125,24050.19921875,STOP_LOSS,STOPPED,-1487.03125,24073.71328125,24486.419042968748,,BULLISH,BULLISH
PT-20260917145450-7B9A02,2026-09-01 06:05:00,24112.599609375,24074.94921875,STOP_LOSS,STOPPED,-753.0078125,24078.54827473958,24474.288603515623,,BULLISH,BULLISH
PT-20260917145450-2868BC,2026-09-01 06:10:00,24119.0,24074.94921875,STOP_LOSS,STOPPED,-881.015625,24082.895768229166,24480.784999999996,,BULLISH,BULLISH
PT-20260917145450-CC4E41,2026-09-01 06:15:00,24110.599609375,24084.150390625,STOP_LOSS,STOPPED,-528.984375,24087.106575520833,24472.258603515624,,BULLISH,BULLISH
PT-20260917145450-AA93B1,2026-09-01 06:20:00,24117.650390625,24084.150390625,STOP_LOSS,STOPPED,-670.0,24091.058235677083,24479.415146484374,,BULLISH,BULLISH
PT-20260917145450-5FF36A,2026-09-01 06:25:00,24116.69921875,24093.5,STOP_LOSS,STOPPED,-463.984375,24094.634082031254,24478.449707031246,,BULLISH,BULLISH
PT-20260917145450-1DD2A5,2026-09-01 06:30:00,24121.30078125,24097.650390625,STOP_LOSS,STOPPED,-473.0078125,24097.68824869792,24483.120292968746,,BULLISH,BULLISH
PT-20260917145450-36DBF9,2026-09-01 06:35:00,24127.900390625,24097.650390625,STOP_LOSS,STOPPED,-605.0,24100.956575520835,24489.818896484372,,BULLISH,BULLISH
PT-20260917145450-088C4D,2026-09-01 06:40:00,24117.75,24097.650390625,STOP_LOSS,STOPPED,-401.9921875,24103.728255208334,24479.516249999997,,BULLISH,BULLISH
PT-20260917145450-9D8DC5,2026-09-01 07:05:00,24111.05078125,24107.44921875,STOP_LOSS,STOPPED,-72.03125,24112.48251953125,24472.71654296875,,BULLISH,BULLISH
PT-20260917145450-84EEF9,2026-09-01 07:10:00,24115.150390625,24107.44921875,STOP_LOSS,STOPPED,-154.0234375,24114.20250651042,24476.877646484372,,BULLISH,BULLISH
PT-20260917145450-D3DB0B,2026-09-01 08:05:00,24036.900390625,24034.19921875,TARGET_HIT,TARGET_HIT,54.0234375,24089.944173177086,23676.346884765626,,BEARISH,BEARISH
PT-20260917145450-80EE6E,2026-09-01 08:10:00,24034.19921875,24019.25,TARGET_HIT,TARGET_HIT,298.984375,24085.58665364583,23673.68623046875,,BEARISH,BEARISH
PT-20260917145450-229CB1,2026-09-01 08:15:00,24019.25,23993.80078125,TARGET_HIT,TARGET_HIT,508.984375,24080.468294270835,23658.96125,,BEARISH,BEARISH
PT-20260917145450-7C28C9,2026-09-01 08:20:00,23993.80078125,24000.150390625,TARGET_HIT,TARGET_HIT,-126.9921875,24074.42164713542,23633.89376953125,,BEARISH,BEARISH
PT-20260917145450-D4DACE,2026-09-01 08:25:00,24000.150390625,23978.55078125,TARGET_HIT,TARGET_HIT,431.9921875,24068.8125,23640.148134765626,,BEARISH,BEARISH
PT-20260917145450-5122A3,2026-09-01 08:30:00,23978.55078125,23956.349609375,TARGET_HIT,TARGET_HIT,444.0234375,24062.9650390625,23618.87251953125,,BEARISH,BEARISH
PT-20260917145450-2D5708,2026-09-01 08:35:00,23956.349609375,23965.05078125,TARGET_HIT,TARGET_HIT,-174.0234375,24055.917513020835,23597.004365234374,,BEARISH,BEARISH
